Iniciando BruteForce:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 50
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T2): 10.00%	ODs: 125/10000(001%)	Tempo: 2.63678
Progresso (T4): 10.00%	ODs: 250/10000(003%)	Tempo: 2.95227
Progresso (T1): 10.00%	ODs: 375/10000(004%)	Tempo: 2.97816
Progresso (T5): 10.00%	ODs: 500/10000(005%)	Tempo: 3.04808
Progresso (T3): 10.00%	ODs: 625/10000(006%)	Tempo: 3.18665
Progresso (T8): 10.00%	ODs: 750/10000(008%)	Tempo: 3.27527
Progresso (T7): 10.00%	ODs: 875/10000(009%)	Tempo: 3.33440
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 3.61945
Progresso (T4): 20.00%	ODs: 1125/10000(011%)	Tempo: 5.47986
Progresso (T1): 20.00%	ODs: 1250/10000(013%)	Tempo: 5.79502
Progresso (T2): 20.00%	ODs: 1375/10000(014%)	Tempo: 6.05763
Progresso (T3): 20.00%	ODs: 1500/10000(015%)	Tempo: 6.10522
Progresso (T7): 20.00%	ODs: 1625/10000(016%)	Tempo: 6.22171
Progresso (T6): 20.00%	ODs: 1750/10000(018%)	Tempo: 6.42637
Progresso (T5): 20.00%	ODs: 1875/10000(019%)	Tempo: 6.65111
Progresso (T8): 20.00%	ODs: 2000/10000(020%)	Tempo: 6.84462
Progresso (T4): 30.00%	ODs: 2125/10000(021%)	Tempo: 7.88333
Progresso (T2): 30.00%	ODs: 2250/10000(023%)	Tempo: 8.43926
Progresso (T6): 30.00%	ODs: 2375/10000(024%)	Tempo: 8.64829
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 9.06096
Progresso (T1): 30.00%	ODs: 2625/10000(026%)	Tempo: 9.25862
Progresso (T3): 30.00%	ODs: 2750/10000(028%)	Tempo: 9.30820
Progresso (T5): 30.00%	ODs: 2875/10000(029%)	Tempo: 9.76866
Progresso (T8): 30.00%	ODs: 3000/10000(030%)	Tempo: 9.93140
Progresso (T4): 40.00%	ODs: 3125/10000(031%)	Tempo: 10.57006
Progresso (T2): 40.00%	ODs: 3250/10000(033%)	Tempo: 11.59321
Progresso (T7): 40.00%	ODs: 3375/10000(034%)	Tempo: 11.57814
Progresso (T6): 40.00%	ODs: 3500/10000(035%)	Tempo: 12.06830
Progresso (T1): 40.00%	ODs: 3625/10000(036%)	Tempo: 12.38114
Progresso (T3): 40.00%	ODs: 3750/10000(038%)	Tempo: 12.46843
Progresso (T5): 40.00%	ODs: 3875/10000(039%)	Tempo: 12.79112
Progresso (T8): 40.00%	ODs: 4000/10000(040%)	Tempo: 12.83788
Progresso (T4): 50.00%	ODs: 4125/10000(041%)	Tempo: 13.29563
Progresso (T2): 50.00%	ODs: 4250/10000(043%)	Tempo: 14.35183
Progresso (T7): 50.00%	ODs: 4375/10000(044%)	Tempo: 14.43376
Progresso (T1): 50.00%	ODs: 4500/10000(045%)	Tempo: 14.78487
Progresso (T3): 50.00%	ODs: 4625/10000(046%)	Tempo: 14.83771
Progresso (T6): 50.00%	ODs: 4750/10000(048%)	Tempo: 15.15542
Progresso (T5): 50.00%	ODs: 4875/10000(049%)	Tempo: 16.15189
Progresso (T8): 50.00%	ODs: 5000/10000(050%)	Tempo: 16.19723
Progresso (T3): 60.00%	ODs: 5125/10000(051%)	Tempo: 17.16234
Progresso (T2): 60.00%	ODs: 5250/10000(053%)	Tempo: 17.35926
Progresso (T4): 60.00%	ODs: 5375/10000(054%)	Tempo: 17.84574
Progresso (T1): 60.00%	ODs: 5500/10000(055%)	Tempo: 17.89316
Progresso (T6): 60.00%	ODs: 5625/10000(056%)	Tempo: 17.89571
Progresso (T5): 60.00%	ODs: 5750/10000(058%)	Tempo: 18.62896
Progresso (T7): 60.00%	ODs: 5875/10000(059%)	Tempo: 18.80187
Progresso (T8): 60.00%	ODs: 6000/10000(060%)	Tempo: 19.52620
Progresso (T4): 70.00%	ODs: 6125/10000(061%)	Tempo: 20.10426
Progresso (T3): 70.00%	ODs: 6250/10000(063%)	Tempo: 20.23787
Progresso (T6): 70.00%	ODs: 6375/10000(064%)	Tempo: 20.55328
Progresso (T2): 70.00%	ODs: 6500/10000(065%)	Tempo: 20.61153
Progresso (T1): 70.00%	ODs: 6625/10000(066%)	Tempo: 21.39170
Progresso (T7): 70.00%	ODs: 6750/10000(068%)	Tempo: 21.74285
Progresso (T4): 80.00%	ODs: 6875/10000(069%)	Tempo: 22.37537
Progresso (T8): 70.00%	ODs: 7000/10000(070%)	Tempo: 22.79837
Progresso (T5): 70.00%	ODs: 7125/10000(071%)	Tempo: 22.89452
Progresso (T2): 80.00%	ODs: 7250/10000(073%)	Tempo: 22.94412
Progresso (T3): 80.00%	ODs: 7375/10000(074%)	Tempo: 23.86033
Progresso (T1): 80.00%	ODs: 7500/10000(075%)	Tempo: 24.25302
Progresso (T6): 80.00%	ODs: 7625/10000(076%)	Tempo: 24.70085
Progresso (T4): 90.00%	ODs: 7750/10000(078%)	Tempo: 25.03918
Progresso (T2): 90.00%	ODs: 7875/10000(079%)	Tempo: 25.34870
Progresso (T8): 80.00%	ODs: 8000/10000(080%)	Tempo: 25.66859
Progresso (T7): 80.00%	ODs: 8125/10000(081%)	Tempo: 25.69601
Progresso (T3): 90.00%	ODs: 8250/10000(083%)	Tempo: 26.28230
Progresso (T5): 80.00%	ODs: 8375/10000(084%)	Tempo: 26.71713
Progresso (T6): 90.00%	ODs: 8500/10000(085%)	Tempo: 27.06183
Progresso (T4): 100.00%	ODs: 8625/10000(086%)	Tempo: 27.15642
		Fim: T4
Progresso (T2): 100.00%	ODs: 8750/10000(088%)	Tempo: 27.94403
		Fim: T2
Progresso (T8): 90.00%	ODs: 8875/10000(089%)	Tempo: 28.17125
Progresso (T7): 90.00%	ODs: 9000/10000(090%)	Tempo: 28.45069
Progresso (T1): 90.00%	ODs: 9125/10000(091%)	Tempo: 28.77420
Progresso (T3): 100.00%	ODs: 9250/10000(093%)	Tempo: 28.79989
		Fim: T3
Progresso (T6): 100.00%	ODs: 9375/10000(094%)	Tempo: 29.90688
		Fim: T6
Progresso (T5): 90.00%	ODs: 9500/10000(095%)	Tempo: 29.95216
Progresso (T8): 100.00%	ODs: 9625/10000(096%)	Tempo: 31.20461
		Fim: T8
Progresso (T7): 100.00%	ODs: 9750/10000(098%)	Tempo: 31.32366
		Fim: T7
Progresso (T5): 100.00%	ODs: 9875/10000(099%)	Tempo: 31.85313
		Fim: T5
Progresso (T1): 100.00%	ODs: 10000/10000(100%)	Tempo: 31.97182
		Fim: T1

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 50 metros = 240.160428556667
para o arquivo: Mumbai-network-osm-2019-1_2

