Iniciando Collapse:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 7.66263
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 8.15922
Progresso (T6): 10.00%	ODs: 375/10000(004%)	Tempo: 8.28523
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 8.40398
Progresso (T2): 10.00%	ODs: 625/10000(006%)	Tempo: 8.50160
Progresso (T5): 10.00%	ODs: 750/10000(008%)	Tempo: 8.50573
Progresso (T1): 10.00%	ODs: 875/10000(009%)	Tempo: 8.56603
Progresso (T8): 10.00%	ODs: 1000/10000(010%)	Tempo: 8.65683
Progresso (T7): 20.00%	ODs: 1125/10000(011%)	Tempo: 15.96992
Progresso (T2): 20.00%	ODs: 1250/10000(013%)	Tempo: 16.14160
Progresso (T6): 20.00%	ODs: 1375/10000(014%)	Tempo: 16.50018
Progresso (T3): 20.00%	ODs: 1500/10000(015%)	Tempo: 16.54210
Progresso (T4): 20.00%	ODs: 1625/10000(016%)	Tempo: 16.66842
Progresso (T5): 20.00%	ODs: 1750/10000(018%)	Tempo: 16.76116
Progresso (T1): 20.00%	ODs: 1875/10000(019%)	Tempo: 16.98103
Progresso (T8): 20.00%	ODs: 2000/10000(020%)	Tempo: 17.14792
Progresso (T3): 30.00%	ODs: 2125/10000(021%)	Tempo: 24.46314
Progresso (T6): 30.00%	ODs: 2250/10000(023%)	Tempo: 24.65383
Progresso (T5): 30.00%	ODs: 2375/10000(024%)	Tempo: 24.83324
Progresso (T4): 30.00%	ODs: 2500/10000(025%)	Tempo: 24.94300
Progresso (T2): 30.00%	ODs: 2625/10000(026%)	Tempo: 25.10938
Progresso (T8): 30.00%	ODs: 2750/10000(028%)	Tempo: 25.18714
Progresso (T7): 30.00%	ODs: 2875/10000(029%)	Tempo: 25.47159
Progresso (T1): 30.00%	ODs: 3000/10000(030%)	Tempo: 25.62383
Progresso (T3): 40.00%	ODs: 3125/10000(031%)	Tempo: 32.41450
Progresso (T6): 40.00%	ODs: 3250/10000(033%)	Tempo: 32.83428
Progresso (T4): 40.00%	ODs: 3375/10000(034%)	Tempo: 32.90843
Progresso (T5): 40.00%	ODs: 3500/10000(035%)	Tempo: 33.02395
Progresso (T2): 40.00%	ODs: 3625/10000(036%)	Tempo: 33.26104
